# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# precision = ES25.17
# antipodes = enforced (alpha_bar=-alpha; I,phi from alpha; phi_bar=mod(phi+pi,2pi))
# squeeze_r = 2.5
# squeeze_theta_deg = 180.0
# gh_order = 7
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 49
# sum_weight = 1.0000000000000000e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  3.00598738429085510E-07 -2.29216891059436421E+01 -1.88152681871881855E+00  2.81315961525894824E+12  3.22349403251916433E+00
       2  1.68631731707043770E-05 -2.29216891059436421E+01 -1.18735978709519063E+00  2.80182962529175439E+12  3.19334710626614671E+00
       3  1.31652060426182998E-04 -2.29216891059436421E+01 -5.79144013330269880E-01  2.79611540531469775E+12  3.16685348055900384E+00
       4  2.50637191301585798E-04 -2.29216891059436421E+01  1.39409162325231835E-15  2.79433155732780127E+12  3.14159265358979312E+00
       5  1.31652060426182998E-04 -2.29216891059436421E+01  5.79144013330272767E-01  2.79611540531469775E+12  3.11633182662058239E+00
       6  1.68631731707043770E-05 -2.29216891059436421E+01  1.18735978709519352E+00  2.80182962529175439E+12  3.08983820091343953E+00
       7  3.00598738429085510E-07 -2.29216891059436421E+01  1.88152681871882099E+00  2.81315961525894824E+12  3.05969127466042190E+00
       8  1.68631731707043770E-05 -1.44650034354693400E+01 -1.88152681871881877E+00  1.13164001162729541E+12  3.27094083243298472E+00
       9  9.46000674757485789E-04 -1.44650034354693400E+01 -1.18735978709519108E+00  1.12031002166010181E+12  3.22349403251916433E+00
      10  7.38549837184529403E-03 -1.44650034354693400E+01 -5.79144013330270435E-01  1.11459580168304492E+12  3.18160888002559972E+00
      11  1.40603995280395629E-02 -1.44650034354693400E+01  8.79758032948577452E-16  1.11281195369614844E+12  3.14159265358979312E+00
      12  7.38549837184529403E-03 -1.44650034354693400E+01  5.79144013330272212E-01  1.11459580168304492E+12  3.10157642715398651E+00
      13  9.46000674757485789E-04 -1.44650034354693400E+01  1.18735978709519308E+00  1.12031002166010205E+12  3.05969127466042190E+00
      14  1.68631731707043770E-05 -1.44650034354693400E+01  1.88152681871882077E+00  1.13164001162729541E+12  3.01224447474660151E+00
      15  1.31652060426182998E-04 -7.05541844477360147E+00 -1.88152681871881944E+00  2.83574573025198669E+11  3.40220588275808611E+00
      16  7.38549837184529403E-03 -7.05541844477360147E+00 -1.18735978709519152E+00  2.72244583058005371E+11  3.30832084445222740E+00
      17  5.76591409033747823E-02 -7.05541844477360147E+00 -5.79144013330270879E-01  2.66530363080948303E+11  3.22349403251916433E+00
      18  1.09770595933720086E-01 -7.05541844477360147E+00  4.29108854366596802E-16  2.64746515094052002E+11  3.14159265358979312E+00
      19  5.76591409033747823E-02 -7.05541844477360147E+00  5.79144013330271656E-01  2.66530363080948303E+11  3.05969127466042190E+00
      20  7.38549837184529403E-03 -7.05541844477360147E+00  1.18735978709519263E+00  2.72244583058005371E+11  2.97486446272735838E+00
      21  1.31652060426182998E-04 -7.05541844477360147E+00  1.88152681871882010E+00  2.83574573025198669E+11  2.88097942442150012E+00
      22  2.50637191301585798E-04  0.00000000000000000E+00 -1.88152681871881988E+00  1.88280579311466751E+10  4.71238898038468967E+00
      23  1.40603995280395629E-02  0.00000000000000000E+00 -1.18735978709519219E+00  7.49806796395340157E+09  4.71238898038468967E+00
      24  1.09770595933720086E-01  0.00000000000000000E+00 -5.79144013330271323E-01  1.78384798689630294E+09  4.71238898038468967E+00
      25  2.08979591836734868E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
      26  1.09770595933720086E-01 -0.00000000000000000E+00  5.79144013330271323E-01  1.78384798689630294E+09  1.57079632679489656E+00
      27  1.40603995280395629E-02 -0.00000000000000000E+00  1.18735978709519219E+00  7.49806796395340157E+09  1.57079632679489656E+00
      28  2.50637191301585798E-04 -0.00000000000000000E+00  1.88152681871881988E+00  1.88280579311466751E+10  1.57079632679489656E+00
      29  1.31652060426182998E-04  7.05541844477360147E+00 -1.88152681871882010E+00  2.83574573025198669E+11  6.02257207801129368E+00
      30  7.38549837184529403E-03  7.05541844477360147E+00 -1.18735978709519263E+00  2.72244583058005371E+11  6.11645711631715194E+00
      31  5.76591409033747823E-02  7.05541844477360147E+00 -5.79144013330271656E-01  2.66530363080948303E+11  6.20128392825021457E+00
      32  1.09770595933720086E-01  7.05541844477360147E+00 -4.29108854366596802E-16  2.64746515094052002E+11  0.00000000000000000E+00
      33  5.76591409033747823E-02  7.05541844477360147E+00  5.79144013330270879E-01  2.66530363080948303E+11  8.19013789293716599E-02
      34  7.38549837184529403E-03  7.05541844477360147E+00  1.18735978709519152E+00  2.72244583058005371E+11  1.66728190862434289E-01
      35  1.31652060426182998E-04  7.05541844477360147E+00  1.88152681871881944E+00  2.83574573025198669E+11  2.60613229168292548E-01
      36  1.68631731707043770E-05  1.44650034354693400E+01 -1.88152681871882077E+00  1.13164001162729541E+12  6.15383712833639507E+00
      37  9.46000674757485789E-04  1.44650034354693400E+01 -1.18735978709519308E+00  1.12031002166010205E+12  6.20128392825021457E+00
      38  7.38549837184529403E-03  1.44650034354693400E+01 -5.79144013330272212E-01  1.11459580168304492E+12  6.24316908074377963E+00
      39  1.40603995280395629E-02  1.44650034354693400E+01 -8.79758032948577452E-16  1.11281195369614844E+12  0.00000000000000000E+00
      40  7.38549837184529403E-03  1.44650034354693400E+01  5.79144013330270435E-01  1.11459580168304492E+12  4.00162264358066011E-02
      41  9.46000674757485789E-04  1.44650034354693400E+01  1.18735978709519108E+00  1.12031002166010181E+12  8.19013789293716599E-02
      42  1.68631731707043770E-05  1.44650034354693400E+01  1.88152681871881877E+00  1.13164001162729541E+12  1.29348178843191164E-01
      43  3.00598738429085510E-07  2.29216891059436421E+01 -1.88152681871882099E+00  2.81315961525894824E+12  6.20128392825021457E+00
      44  1.68631731707043770E-05  2.29216891059436421E+01 -1.18735978709519352E+00  2.80182962529175439E+12  6.23143085450323220E+00
      45  1.31652060426182998E-04  2.29216891059436421E+01 -5.79144013330272767E-01  2.79611540531469775E+12  6.25792448021037551E+00
      46  2.50637191301585798E-04  2.29216891059436421E+01 -1.39409162325231835E-15  2.79433155732780127E+12  0.00000000000000000E+00
      47  1.31652060426182998E-04  2.29216891059436421E+01  5.79144013330269880E-01  2.79611540531469775E+12  2.52608269692107257E-02
      48  1.68631731707043770E-05  2.29216891059436421E+01  1.18735978709519063E+00  2.80182962529175439E+12  5.17544526763540347E-02
      49  3.00598738429085510E-07  2.29216891059436421E+01  1.88152681871881855E+00  2.81315961525894824E+12  8.19013789293716599E-02
