# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# precision = ES25.17
# antipodes = enforced (alpha_bar=-alpha; I,phi from alpha; phi_bar=mod(phi+pi,2pi))
# squeeze_r = 2.5
# squeeze_theta_deg = 0.0
# gh_order = 7
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 49
# sum_weight = 1.0000000000000000e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
      20  7.38549837184529403E-03 -5.79144013330271323E-01  1.44650034354693400E+01  1.11459580168304492E+12  1.61081255323070316E+00
      21  1.31652060426182998E-04 -5.79144013330271323E-01  2.29216891059436421E+01  2.79611540531469775E+12  1.59605715376410751E+00
      22  2.50637191301585798E-04  0.00000000000000000E+00 -2.29216891059436421E+01  2.79433155732780127E+12  4.71238898038468967E+00
      23  1.40603995280395629E-02  0.00000000000000000E+00 -1.44650034354693400E+01  1.11281195369614844E+12  4.71238898038468967E+00
      24  1.09770595933720086E-01  0.00000000000000000E+00 -7.05541844477360147E+00  2.64746515094052002E+11  4.71238898038468967E+00
      25  2.08979591836734868E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
      26  1.09770595933720086E-01 -0.00000000000000000E+00  7.05541844477360147E+00  2.64746515094052002E+11  1.57079632679489656E+00
      27  1.40603995280395629E-02 -0.00000000000000000E+00  1.44650034354693400E+01  1.11281195369614844E+12  1.57079632679489656E+00
      28  2.50637191301585798E-04 -0.00000000000000000E+00  2.29216891059436421E+01  2.79433155732780127E+12  1.57079632679489656E+00
      29  1.31652060426182998E-04  5.79144013330271323E-01 -2.29216891059436421E+01  2.79611540531469775E+12  4.73764980735390040E+00
      30  7.38549837184529403E-03  5.79144013330271323E-01 -1.44650034354693400E+01  1.11459580168304492E+12  4.75240520682049628E+00
      31  5.76591409033747823E-02  5.79144013330271323E-01 -7.05541844477360147E+00  2.66530363080948303E+11  4.79429035931406133E+00
      32  1.09770595933720086E-01  5.79144013330271323E-01 -0.00000000000000000E+00  1.78384798689630294E+09  0.00000000000000000E+00
      33  5.76591409033747823E-02  5.79144013330271323E-01  7.05541844477360147E+00  2.66530363080948303E+11  1.48889494786552490E+00
      34  7.38549837184529403E-03  5.79144013330271323E-01  1.44650034354693400E+01  1.11459580168304492E+12  1.53078010035908996E+00
      35  1.31652060426182998E-04  5.79144013330271323E-01  2.29216891059436421E+01  2.79611540531469775E+12  1.54553549982568583E+00
      36  1.68631731707043770E-05  1.18735978709519219E+00 -2.29216891059436421E+01  2.80182962529175439E+12  4.76414343306104371E+00
      37  9.46000674757485789E-04  1.18735978709519219E+00 -1.44650034354693400E+01  1.12031002166010205E+12  4.79429035931406133E+00
      38  7.38549837184529403E-03  1.18735978709519219E+00 -7.05541844477360147E+00  2.72244583058005371E+11  4.87911717124712396E+00
      39  1.40603995280395629E-02  1.18735978709519219E+00 -0.00000000000000000E+00  7.49806796395340157E+09  0.00000000000000000E+00
      40  7.38549837184529403E-03  1.18735978709519219E+00  7.05541844477360147E+00  2.72244583058005371E+11  1.40406813593246227E+00
      41  9.46000674757485789E-04  1.18735978709519219E+00  1.44650034354693400E+01  1.12031002166010205E+12  1.48889494786552490E+00
      42  1.68631731707043770E-05  1.18735978709519219E+00  2.29216891059436421E+01  2.80182962529175439E+12  1.51904187411854252E+00
      43  3.00598738429085510E-07  1.88152681871881988E+00 -2.29216891059436421E+01  2.81315961525894824E+12  4.79429035931406133E+00
      44  1.68631731707043770E-05  1.88152681871881988E+00 -1.44650034354693400E+01  1.13164001162729541E+12  4.84173715922788173E+00
      45  1.31652060426182998E-04  1.88152681871881988E+00 -7.05541844477360147E+00  2.83574573025198669E+11  4.97300220955298222E+00
      46  2.50637191301585798E-04  1.88152681871881988E+00 -0.00000000000000000E+00  1.88280579311466751E+10  0.00000000000000000E+00
      47  1.31652060426182998E-04  1.88152681871881988E+00  7.05541844477360147E+00  2.83574573025198669E+11  1.31018309762660401E+00
      48  1.68631731707043770E-05  1.88152681871881988E+00  1.44650034354693400E+01  1.13164001162729541E+12  1.44144814795170451E+00
      49  3.00598738429085510E-07  1.88152681871881988E+00  2.29216891059436421E+01  2.81315961525894824E+12  1.48889494786552490E+00
