# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# precision = ES25.17
# antipodes = enforced (alpha_bar=-alpha; I,phi from alpha; phi_bar=mod(phi+pi,2pi))
# squeeze_r = 2.5
# squeeze_theta_deg = 0.0
# gh_order = 7
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 49
# sum_weight = 1.0000000000000000e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  3.00598738429085510E-07 -1.88152681871881988E+00 -2.29216891059436421E+01  2.81315961525894824E+12  4.63048760145531801E+00
       2  1.68631731707043770E-05 -1.88152681871881988E+00 -1.44650034354693400E+01  1.13164001162729541E+12  4.58304080154149762E+00
       3  1.31652060426182998E-04 -1.88152681871881988E+00 -7.05541844477360147E+00  2.83574573025198669E+11  4.45177575121639713E+00
       4  2.50637191301585798E-04 -1.88152681871881988E+00  0.00000000000000000E+00  1.88280579311466751E+10  3.14159265358979312E+00
       5  1.31652060426182998E-04 -1.88152681871881988E+00  7.05541844477360147E+00  2.83574573025198669E+11  1.83140955596318955E+00
       6  1.68631731707043770E-05 -1.88152681871881988E+00  1.44650034354693400E+01  1.13164001162729541E+12  1.70014450563808839E+00
       7  3.00598738429085510E-07 -1.88152681871881988E+00  2.29216891059436421E+01  2.81315961525894824E+12  1.65269770572426800E+00
       8  1.68631731707043770E-05 -1.18735978709519219E+00 -2.29216891059436421E+01  2.80182962529175439E+12  4.66063452770833564E+00
       9  9.46000674757485789E-04 -1.18735978709519219E+00 -1.44650034354693400E+01  1.12031002166010205E+12  4.63048760145531801E+00
      10  7.38549837184529403E-03 -1.18735978709519219E+00 -7.05541844477360147E+00  2.72244583058005371E+11  4.54566078952225539E+00
      11  1.40603995280395629E-02 -1.18735978709519219E+00  0.00000000000000000E+00  7.49806796395340157E+09  3.14159265358979312E+00
      12  7.38549837184529403E-03 -1.18735978709519219E+00  7.05541844477360147E+00  2.72244583058005371E+11  1.73752451765733129E+00
      13  9.46000674757485789E-04 -1.18735978709519219E+00  1.44650034354693400E+01  1.12031002166010205E+12  1.65269770572426800E+00
      14  1.68631731707043770E-05 -1.18735978709519219E+00  2.29216891059436421E+01  2.80182962529175439E+12  1.62255077947125037E+00
      15  1.31652060426182998E-04 -5.79144013330271323E-01 -2.29216891059436421E+01  2.79611540531469775E+12  4.68712815341547895E+00
      16  7.38549837184529403E-03 -5.79144013330271323E-01 -1.44650034354693400E+01  1.11459580168304492E+12  4.67237275394888307E+00
      17  5.76591409033747823E-02 -5.79144013330271323E-01 -7.05541844477360147E+00  2.66530363080948303E+11  4.63048760145531801E+00
      18  1.09770595933720086E-01 -5.79144013330271323E-01  0.00000000000000000E+00  1.78384798689630294E+09  3.14159265358979312E+00
      19  5.76591409033747823E-02 -5.79144013330271323E-01  7.05541844477360147E+00  2.66530363080948303E+11  1.65269770572426800E+00
