# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# precision = ES25.17
# antipodes = enforced (alpha_bar=-alpha; I,phi from alpha; phi_bar=mod(phi+pi,2pi))
# squeeze_r = 2.5
# squeeze_theta_deg = 0.0
# gh_order = 3
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 9
# sum_weight = 9.9999999999999989e-01
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  2.77777777777777832E-02 -8.68938122221205145E-01 -1.05858334261848483E+01  5.99999999999999878E+11  4.63048760145531801E+00
       2  1.11111111111111105E-01 -8.68938122221205145E-01  0.00000000000000000E+00  4.01571055457091331E+09  3.14159265358979312E+00
       3  2.77777777777777832E-02 -8.68938122221205145E-01  1.05858334261848483E+01  5.99999999999999878E+11  1.65269770572426800E+00
       4  1.11111111111111105E-01  0.00000000000000000E+00 -1.05858334261848483E+01  5.95984289445428955E+11  4.71238898038468967E+00
       5  4.44444444444444364E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
       6  1.11111111111111105E-01 -0.00000000000000000E+00  1.05858334261848483E+01  5.95984289445428955E+11  1.57079632679489656E+00
       7  2.77777777777777832E-02  8.68938122221205145E-01 -1.05858334261848483E+01  5.99999999999999878E+11  4.79429035931406133E+00
       8  1.11111111111111105E-01  8.68938122221205145E-01 -0.00000000000000000E+00  4.01571055457091331E+09  0.00000000000000000E+00
       9  2.77777777777777832E-02  8.68938122221205145E-01  1.05858334261848483E+01  5.99999999999999878E+11  1.48889494786552490E+00
