# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# squeeze_r = 0.5
# squeeze_theta_deg = 180.0
# gh_order = 3
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 9
# sum_weight = 1.0000000000000002e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  2.77777778e-02 -1.66994352e+00 -1.01287195e+00  6.00000000e+11  3.68680028e+00
       2  1.11111111e-01 -1.66994352e+00  6.46372030e-17  4.38635147e+11  3.14159265e+00
       3  2.77777778e-02 -1.66994352e+00  1.01287195e+00  6.00000000e+11  2.59638503e+00
       4  1.11111111e-01  0.00000000e+00 -1.01287195e+00  1.61364853e+11  4.71238898e+00
       5  4.44444444e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
       6  1.11111111e-01  0.00000000e+00  1.01287195e+00  1.61364853e+11  1.57079633e+00
       7  2.77777778e-02  1.66994352e+00 -1.01287195e+00  6.00000000e+11  5.73797768e+00
       8  1.11111111e-01  1.66994352e+00 -6.46372030e-17  4.38635147e+11  6.28318531e+00
       9  2.77777778e-02  1.66994352e+00  1.01287195e+00  6.00000000e+11  5.45207624e-01
