# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# squeeze_r = 2.5
# squeeze_theta_deg = 180.0
# gh_order = 3
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 9
# sum_weight = 1.0000000000000002e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  2.77777778e-02 -1.05858334e+01 -8.68938122e-01  6.00000000e+11  3.22349403e+00
       2  1.11111111e-01 -1.05858334e+01  6.43827845e-16  5.95984289e+11  3.14159265e+00
       3  2.77777778e-02 -1.05858334e+01  8.68938122e-01  6.00000000e+11  3.05969127e+00
       4  1.11111111e-01  0.00000000e+00 -8.68938122e-01  4.01571055e+09  4.71238898e+00
       5  4.44444444e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
       6  1.11111111e-01  0.00000000e+00  8.68938122e-01  4.01571055e+09  1.57079633e+00
       7  2.77777778e-02  1.05858334e+01 -8.68938122e-01  6.00000000e+11  6.20128393e+00
       8  1.11111111e-01  1.05858334e+01 -6.43827845e-16  5.95984289e+11  6.28318531e+00
       9  2.77777778e-02  1.05858334e+01  8.68938122e-01  6.00000000e+11  8.19013789e-02
